method,rows,time_min
BACK_TO_FRONT,50,184.94235590832437
BACK_TO_FRONT,50,206.81491341986322
BACK_TO_FRONT,50,187.1071162268582
BACK_TO_FRONT,50,201.99030044764714
BACK_TO_FRONT,50,198.04529009298915
BACK_TO_FRONT,50,201.80806802883518
BACK_TO_FRONT,50,208.56194460622115
BACK_TO_FRONT,50,167.35424189504556
BACK_TO_FRONT,50,182.18086575382114
BACK_TO_FRONT,50,165.18344285365035
BACK_TO_FRONT,50,177.74719165892552
BACK_TO_FRONT,50,179.62898252340491
BACK_TO_FRONT,50,187.43469321355687
BACK_TO_FRONT,50,182.39447667130915
BACK_TO_FRONT,50,211.6711304200403
BACK_TO_FRONT,50,193.05496668980305
BACK_TO_FRONT,50,212.29027641087453
BACK_TO_FRONT,50,189.92731854521023
BACK_TO_FRONT,50,200.38140329285451
BACK_TO_FRONT,50,186.89735414351878
BACK_TO_FRONT,50,202.57304217615686
BACK_TO_FRONT,50,197.1136256234704
BACK_TO_FRONT,50,167.53817600049513
BACK_TO_FRONT,50,186.75372007762255
BACK_TO_FRONT,50,207.9248906295442
BACK_TO_FRONT,50,181.28330574759934
BACK_TO_FRONT,50,191.77712106866645
BACK_TO_FRONT,50,185.4908997071471
BACK_TO_FRONT,50,213.28366171694054
BACK_TO_FRONT,50,218.0142661179646
BACK_TO_FRONT,50,202.3526926790233
BACK_TO_FRONT,50,199.86084556477346
BACK_TO_FRONT,50,201.7707782532765
BACK_TO_FRONT,50,175.96958316901674
BACK_TO_FRONT,50,205.37212665721947
BACK_TO_FRONT,50,206.5172391987154
BACK_TO_FRONT,50,180.493389633897
BACK_TO_FRONT,50,202.62050573731986
BACK_TO_FRONT,50,165.66331406368064
BACK_TO_FRONT,50,222.9057742870903
BACK_TO_FRONT,50,211.9401363392509
BACK_TO_FRONT,50,190.54563699271645
BACK_TO_FRONT,50,191.16892451802335
BACK_TO_FRONT,50,187.42816135895958
BACK_TO_FRONT,50,202.46412336761358
BACK_TO_FRONT,50,195.67663048075252
BACK_TO_FRONT,50,203.01752479900654
BACK_TO_FRONT,50,173.12605670252688
BACK_TO_FRONT,50,178.38077976272564
FRONT_TO_BACK,50,262.2944949274671
FRONT_TO_BACK,50,255.19648940089044
FRONT_TO_BACK,50,249.03864025050535
FRONT_TO_BACK,50,260.36135934401426
FRONT_TO_BACK,50,239.9417220915946
FRONT_TO_BACK,50,251.60784250455848
FRONT_TO_BACK,50,250.9361058860411
FRONT_TO_BACK,50,239.3420355134205
FRONT_TO_BACK,50,228.0218564890553
FRONT_TO_BACK,50,253.35528161224758
FRONT_TO_BACK,50,262.723561656061
FRONT_TO_BACK,50,248.87078207856237
FRONT_TO_BACK,50,248.75120898738146
FRONT_TO_BACK,50,240.66909362079085
FRONT_TO_BACK,50,255.06357749506407
FRONT_TO_BACK,50,270.1687467009742
FRONT_TO_BACK,50,256.99667741529504
FRONT_TO_BACK,50,246.91378698541598
FRONT_TO_BACK,50,236.95576830479098
FRONT_TO_BACK,50,236.62031844484272
FRONT_TO_BACK,50,251.12339823827364
FRONT_TO_BACK,50,248.93970408205274
FRONT_TO_BACK,50,224.39723918010424
FRONT_TO_BACK,50,233.49479792796828
FRONT_TO_BACK,50,253.00736678208457
FRONT_TO_BACK,50,251.69077641478364
FRONT_TO_BACK,50,281.7946961586588
FRONT_TO_BACK,50,237.6445959260023
FRONT_TO_BACK,50,247.4364552869381
FRONT_TO_BACK,50,240.63907087480806
FRONT_TO_BACK,50,227.7058131030931
FRONT_TO_BACK,50,255.45471139768506
FRONT_TO_BACK,50,235.24880089351797
FRONT_TO_BACK,50,268.44705464596615
FRONT_TO_BACK,50,237.149779099062
FRONT_TO_BACK,50,250.7452557747077
FRONT_TO_BACK,50,255.98405125966585
FRONT_TO_BACK,50,224.95858586903915
FRONT_TO_BACK,50,228.24699010549696
FRONT_TO_BACK,50,248.14332676803954
FRONT_TO_BACK,50,234.68841494124442
FRONT_TO_BACK,50,239.88310206273812
FRONT_TO_BACK,50,276.0511944685691
FRONT_TO_BACK,50,234.4198702606926
FRONT_TO_BACK,50,235.70351154687103
FRONT_TO_BACK,50,258.9784770228133
FRONT_TO_BACK,50,252.70679883469404
FRONT_TO_BACK,50,262.7824647552021
FRONT_TO_BACK,50,237.06078744263132
FRONT_TO_BACK,50,244.6319428153258
FRONT_TO_BACK,50,242.5461749687891
FRONT_TO_BACK,50,246.67746920208606
FRONT_TO_BACK,50,242.2688851489444
FRONT_TO_BACK,50,240.73040646014206
