method,seed,time_min
FrontToBack,20250927,607.0237500494503
FrontToBack,20250928,575.7697919811161
FrontToBack,20250929,592.6478012736707
FrontToBack,20250930,635.6807372452229
FrontToBack,20250931,602.6039139206293
FrontToBack,20250932,580.6958482006496
FrontToBack,20250933,585.3051427943284
FrontToBack,20250934,584.6229763354962
FrontToBack,20250935,595.5537885275468
FrontToBack,20250936,605.3120248392053
FrontToBack,20250937,600.5641682126983
FrontToBack,20250938,610.8289763780691
FrontToBack,20250939,564.0790721040948
FrontToBack,20250940,582.8506487381064
FrontToBack,20250941,587.6550615517748
FrontToBack,20250942,596.6299076906505
FrontToBack,20250943,604.1996068936281
FrontToBack,20250944,581.9474835806524
FrontToBack,20250945,586.3784717546567
FrontToBack,20250946,588.4581258631991
FrontToBack,20250947,620.4141696354994
FrontToBack,20250948,581.067771342606
FrontToBack,20250949,587.9904706185059
FrontToBack,20250950,584.165521179597
FrontToBack,20250951,597.928234268485
FrontToBack,20250952,591.3209415595383
FrontToBack,20250953,586.2553639345753
FrontToBack,20250954,595.9793956534779
FrontToBack,20250955,563.118503055076
FrontToBack,20250956,610.0541626655312
FrontToBack,20250957,595.0332201742564
FrontToBack,20250958,608.5004630462041
FrontToBack,20250959,598.4174976226576
FrontToBack,20250960,580.4666915893687
FrontToBack,20250961,590.4292840595508
FrontToBack,20250962,582.044765712129
FrontToBack,20250963,590.7325919756045
FrontToBack,20250964,575.9570419263619
FrontToBack,20250965,614.1073224678927
FrontToBack,20250966,580.4747561040045
FrontToBack,20250967,591.1827800365722
FrontToBack,20250968,596.661581210676
FrontToBack,20250969,599.6316334110206
FrontToBack,20250970,609.3645805497854
FrontToBack,20250971,602.190232320411
FrontToBack,20250972,587.2512082773845
FrontToBack,20250973,581.6523054793585
FrontToBack,20250974,595.2696707445252
FrontToBack,20250975,576.1031215641766
FrontToBack,20250976,574.2147859706279
FrontToBack,20250977,574.4041581178662
FrontToBack,20250978,616.387498219311
FrontToBack,20250979,585.7933844632043
FrontToBack,20250980,611.4333389686801
FrontToBack,20250981,578.8972677039327
FrontToBack,20250982,602.1117875012318
